row_index,unitid,source,raw_title,title_kind,is_program_title,bucket,canonical_title,program_conf,program_conf_reason
0,188429,crawl,"African, Black and Caribbean Studies",program,1,black,"African, Black and Caribbean Studies",70,bare_studies_name|bucket_match:black
1,138600,cv,African Studies,program,1,african,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
2,168546,crawl,Ethnic Studies Major and Minor,program,1,ethnic,Ethnic Studies,100,strong_token|anchor_phrase|compound_anchor|bucket_match:ethnic
2,168546,crawl,"Ethnic Studies and Women's, Gender, and Sexuality Studies",program,1,ethnic,Ethnic Studies,70,anchor_phrase|compound_anchor|bucket_match:ethnic
3,164465,crawl,African Studies Certificate,program,1,african,African Studies Certificate,90,strong_token|anchor_phrase|bucket_match:african
3,164465,crawl,Black Studies,program,1,black,Black Studies,90,bare_studies_name|anchor_phrase|bucket_match:black
3,164465,crawl,Black Studies Events,junk,0,black,Black Studies Events,30,anchor_phrase|bucket_match:black
3,164465,crawl,Black Studies Thesis and Research Workshop,junk,0,black,Black Studies,70,anchor_phrase|compound_anchor|bucket_match:black
3,164465,crawl,Critical Debates in Black Studies,other_nonprogram,0,black,Critical Debates in Black Studies,10,bare_studies_name|anchor_phrase|bucket_match:black|course_like
3,164465,crawl,Introduction to Black Studies,course,0,black,Introduction to Black Studies,10,bare_studies_name|anchor_phrase|bucket_match:black|course_like
3,164465,crawl,Research in Black Studies,course,0,black,Research in Black Studies,10,bare_studies_name|anchor_phrase|bucket_match:black|course_like
3,164465,cv,African-American/Black Studies,program,1,black,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
4,104151,cv,African-American/Black Studies,program,1,black,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
6,143084,crawl,Africana Studies,program,1,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
6,143084,cv,African Studies,program,1,african,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
7,189097,crawl,Africana Studies,program,1,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
7,189097,crawl,Africana Studies Major,program,1,africana,Africana Studies,90,strong_token|anchor_phrase|bucket_match:africana
7,189097,crawl,Africana Studies Minor,program,1,africana,Africana Studies,90,strong_token|anchor_phrase|bucket_match:africana
7,189097,crawl,Department of Africana Studies,department_unit,0,africana,Africana Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
7,189097,cv,African Studies,program,1,african,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
9,160977,crawl,About the Program in Africana,junk,0,africana,Program in Africana,70,strong_token|bucket_match:africana
9,160977,crawl,Africana,other_nonprogram,0,africana,Africana Studies,10,bucket_match:africana
9,160977,crawl,"Africana (M, m)",maybe_program,0,africana,Africana Studies,50,major_minor_shorthand|bucket_match:africana
9,160977,crawl,Health and Healing in Africa,event_news,0,african,Health and Healing in Africa,10,bucket_match:african
9,160977,cv,African-American/Black Studies,program,1,black,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
10,156295,crawl,African and African American Studies,program,1,black,African and African American Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black
10,156295,cv,African-American/Black Studies,program,1,black,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
11,196079,cv,African-American/Black Studies,program,1,black,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
12,142115,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
13,164924,crawl,African and African Diaspora Studies,program,1,african,African and African Diaspora Studies,70,bare_studies_name|bucket_match:african
13,164924,crawl,African and African Diaspora Studies African and African Diaspora Studies,other_nonprogram,0,african,African and African Diaspora Studies,10,bucket_match:african
13,164924,crawl,Welcome to African and African Diaspora Studies,junk,0,african,African and African Diaspora Studies,10,bucket_match:african
14,164988,crawl,African American and Black Diaspora Studies,program,1,black,African American and Black Diaspora Studies,70,bare_studies_name|bucket_match:black
14,164988,crawl,African American and Black Diaspora Studies BA in African American and Black Diaspora Studies Minor in African American and Black Diaspora Studies,program,1,black,African American and Black Diaspora Studies BA in African American and Black Diaspora Studies Minor in African American and Black Diaspora Studies,100,strong_token|degree_token|degree_phrase|bucket_match:black
14,164988,crawl,African Language Program,program,1,african,African Language,70,strong_token|bucket_match:african
14,164988,crawl,African Studies,program,1,african,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
14,164988,crawl,African Studies Center,center_institute,0,african,African Studies Center,30,anchor_phrase|bucket_match:african
14,164988,crawl,African Studies Minor in African Languages and Literatures Minor in African Studies,program,1,african,African Studies,100,strong_token|anchor_phrase|compound_anchor|bucket_match:african
14,164988,crawl,BA in African American and Black Diaspora Studies,program,1,black,African American and Black Diaspora Studies,100,degree_token|degree_phrase|bucket_match:black
14,164988,crawl,Financial Aid for African Studies,junk,0,african,Financial Aid for African Studies,10,bare_studies_name|anchor_phrase|bucket_match:african|descriptor_nonprogram
14,164988,crawl,Middle East and North Africa Studies,program,1,mena,Middle East and North Africa Studies,70,bare_studies_name|bucket_match:mena
