row_index,unitid,key,sources_in_key,has_crawl_in_key,has_cv_in_key,has_both_in_key,key_type,bucket
0,188429,black,crawl,1,0,0,bucket,
1,138600,african,cv,0,1,0,bucket,
2,168546,ethnic,crawl,1,0,0,bucket,
3,164465,african,crawl,1,0,0,bucket,
3,164465,black,crawl|cv,1,1,1,bucket,
4,104151,black,cv,0,1,0,bucket,
6,143084,african,cv,0,1,0,bucket,
6,143084,africana,crawl,1,0,0,bucket,
7,189097,african,cv,0,1,0,bucket,
7,189097,africana,crawl,1,0,0,bucket,
9,160977,black,cv,0,1,0,bucket,
10,156295,black,crawl|cv,1,1,1,bucket,
11,196079,black,cv,0,1,0,bucket,
12,142115,minority,cv,0,1,0,bucket,
13,164924,african,crawl,1,0,0,bucket,
14,164988,african,crawl,1,0,0,bucket,
14,164988,black,crawl,1,0,0,bucket,
14,164988,mena,crawl,1,0,0,bucket,
15,161004,african,cv,0,1,0,bucket,
15,161004,africana,crawl,1,0,0,bucket,
15,161004,mena,crawl,1,0,0,bucket,
15,161004,minority,cv,0,1,0,bucket,
16,201441,african,cv,0,1,0,bucket,
16,201441,ethnic,crawl,1,0,0,bucket,
16,201441,minority,cv,0,1,0,bucket,
17,143358,black,crawl,1,0,0,bucket,
18,165015,black,crawl|cv,1,1,1,bucket,
19,217156,african,cv,0,1,0,bucket,
19,217156,africana,crawl,1,0,0,bucket,
19,217156,ethnic,crawl|cv,1,1,1,bucket,
20,211273,africana,crawl,1,0,0,bucket,
20,211273,mena,crawl,1,0,0,bucket,
21,211291,african,crawl,1,0,0,bucket,
21,211291,black,crawl,1,0,0,bucket,
21,211291,ethnic,crawl,1,0,0,bucket,
22,110422,ethnic,crawl,1,0,0,bucket,
22,110422,minority,cv,0,1,0,bucket,
22,110422,race,crawl,1,0,0,bucket,
23,115755,ethnic,crawl,1,0,0,bucket,
23,115755,minority,cv,0,1,0,bucket,
23,115755,race,crawl,1,0,0,bucket,
24,110529,minority,cv,0,1,0,bucket,
25,110538,african,crawl,1,0,0,bucket,
25,110538,black,crawl,1,0,0,bucket,
25,110538,ethnic,crawl,1,0,0,bucket,
26,110547,africana,crawl,1,0,0,bucket,
27,110574,ethnic,crawl,1,0,0,bucket,
29,110565,black,crawl,1,0,0,bucket,
29,110565,minority,cv,0,1,0,bucket,
30,110583,africana,crawl,1,0,0,bucket,
31,110592,black,cv,0,1,0,bucket,
31,110592,minority,cv,0,1,0,bucket,
32,110608,african,crawl,1,0,0,bucket,
32,110608,africana,crawl,1,0,0,bucket,
32,110608,black,cv,0,1,0,bucket,
32,110608,minority,cv,0,1,0,bucket,
33,110617,african,crawl,1,0,0,bucket,
33,110617,africana,crawl,1,0,0,bucket,
33,110617,black,crawl,1,0,0,bucket,
33,110617,ethnic,crawl,1,0,0,bucket,
35,110495,ethnic,crawl,1,0,0,bucket,
36,169080,africana,crawl,1,0,0,bucket,
37,173258,africana,crawl,1,0,0,bucket,
37,173258,minority,cv,0,1,0,bucket,
39,128771,african,crawl,1,0,0,bucket,
39,128771,black,crawl,1,0,0,bucket,
39,128771,race,crawl,1,0,0,bucket,
42,217864,black,crawl,1,0,0,bucket,
43,138947,africana,crawl,1,0,0,bucket,
43,138947,black,crawl,1,0,0,bucket,
44,217882,black,cv,0,1,0,bucket,
45,202134,black,cv,0,1,0,bucket,
46,153144,black,crawl,1,0,0,bucket,
48,190099,africana,crawl,1,0,0,bucket,
49,190558,african,crawl,1,0,0,bucket,
50,126678,african,crawl,1,0,0,bucket,
50,126678,black,crawl,1,0,0,bucket,
50,126678,ethnic,crawl|cv,1,1,1,bucket,
51,126818,ethnic,crawl,1,0,0,bucket,
51,126818,minority,cv,0,1,0,bucket,
51,126818,race,crawl,1,0,0,bucket,
53,153162,minority,cv,0,1,0,bucket,
54,190415,africana,crawl,1,0,0,bucket,
54,190415,black,crawl|cv,1,1,1,bucket,
55,181002,african,crawl,1,0,0,bucket,
55,181002,black,crawl,1,0,0,bucket,
56,190512,black,crawl,1,0,0,bucket,
57,190549,africana,crawl,1,0,0,bucket,
57,190549,black,cv,0,1,0,bucket,
57,190549,minority,cv,0,1,0,bucket,
58,190567,black,crawl,1,0,0,bucket,
59,190594,africana,crawl,1,0,0,bucket,
60,190637,africana,crawl,1,0,0,bucket,
61,190655,black,crawl,1,0,0,bucket,
62,190664,africana,crawl,1,0,0,bucket,
62,190664,black,crawl,1,0,0,bucket,
63,182670,black,crawl|cv,1,1,1,bucket,
64,202523,black,cv,0,1,0,bucket,
65,144740,black,cv,0,1,0,bucket,
66,150400,africana,crawl,1,0,0,bucket,
66,150400,black,cv,0,1,0,bucket,
67,212009,african,cv,0,1,0,bucket,
67,212009,africana,crawl,1,0,0,bucket,
68,184348,africana,crawl,1,0,0,bucket,
68,184348,black,cv,0,1,0,bucket,
69,198419,african,cv,0,1,0,bucket,
70,150455,black,crawl|cv,1,1,1,bucket,
71,198464,black,cv,0,1,0,bucket,
72,220075,black,crawl,1,0,0,bucket,
73,144892,africana,crawl,1,0,0,bucket,
74,156620,black,crawl,1,0,0,bucket,
75,169798,black,cv,0,1,0,bucket,
76,235097,africana,crawl,1,0,0,bucket,
76,235097,ethnic,cv,0,1,0,bucket,
77,144962,race,crawl,1,0,0,bucket,
78,198516,black,crawl,1,0,0,bucket,
79,139658,african,crawl|cv,1,1,1,bucket,
79,139658,black,crawl|cv,1,1,1,bucket,
81,129242,black,crawl,1,0,0,bucket,
84,134097,black,cv,0,1,0,bucket,
85,191241,black,crawl|cv,1,1,1,bucket,
86,212577,african,cv,0,1,0,bucket,
86,212577,africana,crawl,1,0,0,bucket,
86,212577,minority,cv,0,1,0,bucket,
89,131469,african,cv,0,1,0,bucket,
92,139940,africana,crawl,1,0,0,bucket,
92,139940,black,cv,0,1,0,bucket,
92,139940,minority,cv,0,1,0,bucket,
93,212674,africana,crawl,1,0,0,bucket,
93,212674,black,cv,0,1,0,bucket,
94,162654,africana,crawl,1,0,0,bucket,
95,170082,africana,crawl,1,0,0,bucket,
96,198613,black,crawl,1,0,0,bucket,
97,191515,africana,crawl,1,0,0,bucket,
97,191515,black,cv,0,1,0,bucket,
99,166027,black,crawl|cv,1,1,1,bucket,
99,166027,minority,cv,0,1,0,bucket,
100,212911,africana,crawl,1,0,0,bucket,
101,191630,african,cv,0,1,0,bucket,
101,191630,africana,crawl,1,0,0,bucket,
102,131520,african,crawl|cv,1,1,1,bucket,
102,131520,black,crawl|cv,1,1,1,bucket,
104,151324,black,crawl|cv,1,1,1,bucket,
106,151351,black,cv,0,1,0,bucket,
106,151351,minority,cv,0,1,0,bucket,
110,153603,black,crawl,1,0,0,bucket,
115,155399,ethnic,cv,0,1,0,bucket,
116,486840,african,cv,0,1,0,bucket,
118,203535,african,crawl,1,0,0,bucket,
119,146427,black,cv,0,1,0,bucket,
120,213385,african,cv,0,1,0,bucket,
121,146481,black,crawl|cv,1,1,1,bucket,
122,239017,ethnic,crawl,1,0,0,bucket,
122,239017,minority,cv,0,1,0,bucket,
124,213543,african,cv,0,1,0,bucket,
124,213543,africana,crawl,1,0,0,bucket,
125,209056,ethnic,crawl,1,0,0,bucket,
125,209056,mena,crawl,1,0,0,bucket,
126,146612,black,crawl,1,0,0,bucket,
126,146612,ethnic,crawl,1,0,0,bucket,
127,159391,black,crawl,1,0,0,bucket,
128,117946,black,crawl|cv,1,1,1,bucket,
129,146719,african,crawl,1,0,0,bucket,
129,146719,black,cv,0,1,0,bucket,
129,146719,ethnic,crawl,1,0,0,bucket,
130,153834,africana,crawl,1,0,0,bucket,
130,153834,black,cv,0,1,0,bucket,
131,173902,african,crawl,1,0,0,bucket,
132,147013,ethnic,crawl,1,0,0,bucket,
133,140447,black,cv,0,1,0,bucket,
134,174020,ethnic,crawl,1,0,0,bucket,
135,127565,africana,crawl,1,0,0,bucket,
136,204024,black,cv,0,1,0,bucket,
139,173920,ethnic,crawl,1,0,0,bucket,
142,140553,black,cv,0,1,0,bucket,
143,166939,african,crawl,1,0,0,bucket,
143,166939,africana,crawl,1,0,0,bucket,
143,166939,black,cv,0,1,0,bucket,
143,166939,minority,cv,0,1,0,bucket,
144,214175,african,cv,0,1,0,bucket,
144,214175,black,cv,0,1,0,bucket,
144,214175,minority,cv,0,1,0,bucket,
146,185129,africana,crawl,1,0,0,bucket,
146,185129,black,crawl,1,0,0,bucket,
146,185129,ethnic,crawl,1,0,0,bucket,
147,193900,black,cv,0,1,0,bucket,
147,193900,ethnic,cv,0,1,0,bucket,
147,193900,minority,cv,0,1,0,bucket,
148,193973,black,crawl,1,0,0,bucket,
149,199193,black,cv,0,1,0,bucket,
151,147776,black,crawl,1,0,0,bucket,
155,147767,african,cv,0,1,0,bucket,
155,147767,black,cv,0,1,0,bucket,
155,147767,minority,cv,0,1,0,bucket,
156,204501,africana,crawl,1,0,0,bucket,
156,204501,black,crawl|cv,1,1,1,bucket,
156,204501,mena,crawl,1,0,0,bucket,
157,204796,ethnic,crawl,1,0,0,bucket,
158,204857,african,crawl,1,0,0,bucket,
158,204857,black,crawl,1,0,0,bucket,
159,204909,africana,crawl,1,0,0,bucket,
159,204909,black,cv,0,1,0,bucket,
161,232982,black,crawl|cv,1,1,1,bucket,
162,209542,ethnic,crawl|cv,1,1,1,bucket,
165,209807,black,crawl|cv,1,1,1,bucket,
166,186131,african,crawl,1,0,0,bucket,
166,186131,black,crawl|cv,1,1,1,bucket,
169,186201,africana,crawl,1,0,0,bucket,
169,186201,black,cv,0,1,0,bucket,
169,186201,ethnic,crawl,1,0,0,bucket,
170,217420,africana,crawl,1,0,0,bucket,
170,217420,black,cv,0,1,0,bucket,
