unitid,bucket,canonical_title,sources,program_conf_max,has_both_sources,program_conf_final
100751,black,African-American/Black Studies,cv,100,False,100
102094,black,African American Studies,crawl,70,False,70
104151,black,African-American/Black Studies,cv,100,False,100
104179,africana,Africana Studies,crawl,90,False,90
104179,black,African-American/Black Studies,cv,100,False,100
104179,mena,Middle Eastern and North African Studies,crawl,100,False,100
106397,black,African and African American Studies,crawl,100,False,100
110422,ethnic,Comparative Ethnic Studies,crawl,70,False,70
110422,ethnic,Ethnic Studies,crawl,90,False,90
110422,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
110422,race,"Gender, Race, Culture, Science and Technology",crawl,70,False,70
110495,ethnic,Ethnic Studies,crawl,90,False,90
110495,ethnic,Ethnic Studies (Concentration),crawl,100,False,100
110495,ethnic,Ethnic Studies (Major),crawl,100,False,100
110495,ethnic,Ethnic Studies (Minor),crawl,100,False,100
110529,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
110538,african,African Studies,crawl,90,False,90
110538,black,African American Studies,crawl,70,False,70
110538,ethnic,"Race, Ethnicity, and Sovereignty GE",crawl,70,False,70
110547,africana,Africana Studies,crawl,90,False,90
110565,black,African American Studies,crawl,70,False,70
110565,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
110574,ethnic,Ethnic Studies,crawl,90,False,90
110583,africana,Africana Studies,crawl,90,False,90
110592,black,African-American/Black Studies,cv,100,False,100
110592,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
110608,african,"Africa, Interdisciplinary Studies",crawl,70,False,70
110608,africana,Africana Studies,crawl,90,False,90
110608,black,African-American/Black Studies,cv,100,False,100
110608,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
110617,african,African Studies,crawl,90,False,90
110617,african,Certificate in African Studies,crawl,100,False,100
110617,african,Minor in African Studies,crawl,100,False,100
110617,africana,Certificate in Pan African Studies,crawl,100,False,100
110617,africana,Ethnic Studies (Pan African Studies),crawl,100,False,100
110617,africana,Minor in Pan African Studies,crawl,100,False,100
110617,africana,Pan African Studies,crawl,90,False,90
110617,black,African American Studies,crawl,70,False,70
110617,ethnic,"Education, Equity and Social Justice (Ethnicity and Race)",crawl,100,False,100
110617,ethnic,Ethnic Studies,crawl,100,False,100
110617,ethnic,Ethnic Studies (Asian American Studies),crawl,100,False,100
110617,ethnic,Ethnic Studies (Chicanx/​Latinx Studies),crawl,100,False,100
110617,ethnic,Ethnic Studies (Native-​American Studies),crawl,100,False,100
110617,ethnic,General Ethnic Studies,crawl,90,False,90
110617,ethnic,Minor in Ethnic Studies,crawl,100,False,100
110635,black,African-American/Black Studies,cv,100,False,100
110635,ethnic,Ethnic Studies,cv,100,False,100
110644,black,African American and African Studies,crawl,100,False,100
110644,black,African-American/Black Studies,cv,100,False,100
110644,ethnic,Ethnic and Area Studies,crawl,70,False,70
110644,ethnic,Ethnic studies,crawl,90,False,90
110644,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
110653,black,African-American/Black Studies,cv,100,False,100
110653,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
110662,black,African-American/Black Studies,cv,100,False,100
110662,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
110671,black,African American Studies,crawl,70,False,70
110671,black,African-American/Black Studies,cv,100,False,100
110671,ethnic,Ethnic Studies,crawl,90,False,90
