unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience
126784,Colorado School of Trades,schooloftrades.edu/,Lakewood,Colorado,Private for-profit,Special Focus: Applied and Career Studies,"Lower Access, Medium Earnings","Not classified, not in classification universe",Associate,Special Focus: Applied and Career Studies,N/A,Very Small,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,,,,,0,,0,0,,,0,,no_candidates,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381352,Colorado Chinese Medicine University,www.ccmu.edu/,Denver,Colorado,Private for-profit,Special Focus: Other Health Professions,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus: Other Health Professions,Special Focus: Other Health Professions,Very Small,Graduate-focused,Master's,Not Classified,Not Classified,https://www.ccmu.edu/course-catalog/2526,score=220;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=0;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.ccmu.edu/course-catalog/|https://www.ccmu.edu/course-catalog|https://www.ccmu.edu/|https://www.ccmu.edu/|https://www.ccmu.edu/?currency=USD,0,degrees|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/colorado-chinese-medicine-university/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476975,Colorado State University Global,csuglobal.edu/,Aurora,Colorado,Public,Special Focus: Business,Not Classified,"Not classified, not in classification universe",Undergraduate/Graduate-Master's,Special Focus: Business,Special Focus: Business,Medium,Primarily online,Master's,Not Classified,Not Classified,https://csuglobal.edu/academic-programs/,score=446;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=4;canonicalHub=1;flags=,exceptions_seen,https://csuglobal.edu/academic-programs/undergraduate-degrees/bachelors-degree-business-management|https://csuglobal.edu/academic-programs/undergraduate-degrees/bachelors-degree-legal-studies|https://csuglobal.edu/academic-programs/undergraduate-degrees/bachelors-degree-computer-science|https://csuglobal.edu/academic-programs/undergraduate-degrees/undergraduate-degrees-bachelors-degree-human-services|https://csuglobal.edu/academic-programs/undergraduate-degrees/bachelors-degree-accounting,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,11,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/colorado-state-university-global/majors,cv_unresolved,0,,,ethnic,black,Race|race,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0
128106,Colorado State University Pueblo,www.csupueblo.edu/,Pueblo,Colorado,Public,Professions-focused Baccalaureate Medium,"Opportunity Colleges and Universities-Higher Access, Higher Earnings",Research Colleges and Universities,Baccalaureate,Professions-focused,Professions-focused,Medium,Residential,Master's,Not Classified,Not Classified,http://www.csupueblo.edu/academics/index.html,score=162;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=13;canonicalHub=0;flags=,exceptions_seen,https://www.csupueblo.edu/catalog/|https://www.csupueblo.edu/academics/index.html|https://www.csupueblo.edu/catalog|https://www.csupueblo.edu/school-of-education/minors.html|https://www.csupueblo.edu/academics/school-of-education/index.html,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,13,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/colorado-state-university-pueblo/majors,cv_unresolved,0,,,ethnicity,,race,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0
126827,Colorado Technical University-Colorado Springs,www.coloradotech.edu/Colorado-Springs,Colorado Springs,Colorado,Private for-profit,Special Focus: Business,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Doctorate,Special Focus: Business,Special Focus: Business,Very Large,Primarily online,Doctorate,Not Classified,Not Classified,https://www.coloradotech.edu/academics/majors/,score=400;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=0;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://www.coloradotech.edu/programs/|https://www.coloradotech.edu/academics/majors-minors|https://www.coloradotech.edu/majors-minors|https://www.coloradotech.edu/programs|https://www.coloradotech.edu/academics/majors,0,,0,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/colorado-technical-university-colorado-springs/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234979,Columbia Basin College,www.columbiabasin.edu/,Pasco,Washington,Public,Mixed Associate/Baccalaureate,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate/Baccalaureate,Mixed,N/A,Medium,Primarily non-residential,Bachelor's,Not Classified,Not Classified,https://www.columbiabasin.edu/programs,score=468;tier=inventory;hubSig=0;listingLinks=2;slugDiv=1;structHits=4;ctrlStructured=7;canonicalHub=1;flags=,exceptions_seen,https://www.columbiabasin.edu/connect/dei/programs-activities-checklist.html|https://www.columbiabasin.edu/learn/discover-your-path/bachelor-programs/|https://www.columbiabasin.edu/i-am/current-hawk/counseling-advising/academic-maps.html|https://www.columbiabasin.edu/i-am/current-hawk/student-employment/|https://www.columbiabasin.edu/learn/discover-your-path/pathways-at-cbc/,1,BS|bachelor|degrees|majors|programs,1,1,"Race, color, national origin, or shared ancestry?",,13,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/columbia-basin-college/majors,cv_unresolved,0,,,ethnicities|ethnicity,,Race|race,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0
241304,Columbia Central University-Caguas,columbiacentral.edu/,Caguas,Puerto Rico,Private for-profit,Special Focus: Other Health Professions,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Associate/Baccalaureate,Special Focus: Other Health Professions,Special Focus: Other Health Professions,Small,"Mostly full-time, not residential",Master's,Not Classified,Not Classified,https://columbiacentral.edu/,score=50;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=1;ctrlStructured=0;canonicalHub=0;flags=,exceptions_seen,https://columbiacentral.edu/programas/|https://columbiacentral.edu/program-type/certificados/|https://columbiacentral.edu/programas/escuela-de-administracion-de-empresas/|https://columbiacentral.edu/programas/escuela-de-salud/|https://columbiacentral.edu/programas/escuela-de-salud-animal/,0,programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/columbia-central-university-caguas/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112561,Columbia College,www.gocolumbia.edu/,Sonora,California,Public,Mixed Associate Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Small,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.gocolumbia.edu/academics/programsofstudy/area_stem/index.html,score=320;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=6;ctrlStructured=5;canonicalHub=0;flags=,403_forbidden_seen,https://www.gocolumbia.edu/academics/programsofstudy/Index.html|https://www.gocolumbia.edu/academics/programsofstudy/area_stem/environmental_science.html|https://www.gocolumbia.edu/academics/programsofstudy/area_health_care/index.html|https://www.gocolumbia.edu/academics/programsofstudy/area_children_teaching/index.html|https://www.gocolumbia.edu/academics/programsofstudy/area_children_teaching/,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,12,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/columbia-college/majors,cv_unresolved,0,,,,,race,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0
177065,Columbia College,www.ccis.edu/,Columbia,Missouri,Private not-for-profit,Professions-focused Baccalaureate Medium,"Higher Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Professions-focused,Special Focus: Business,Medium,Online and on-campus learning,Master's,Not Classified,Not Classified,https://www.ccis.edu/degrees/index,score=120;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=10;canonicalHub=0;flags=,exceptions_seen,https://www.ccis.edu/policies/academic-probation-suspension-dismissal-undergraduate|https://www.ccis.edu/online/index|https://www.ccis.edu/policies/satisfactory-academic-progress|https://www.ccis.edu/policies/state-regulatory-info|https://www.ccis.edu/academic-resources/study-abroad/short-term-abroad,1,bachelor|degrees|majors|minors|programs,1,0,,,12,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/columbia-college/majors,cv_unresolved,0,,,,,,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
217934,Columbia College,www.columbiasc.edu/,Columbia,South Carolina,Private not-for-profit,Professions-focused Undergraduate/Graduate-Master's Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Professions-focused,Professions-focused,Small,Residential,Master's,Not Classified,Not Classified,https://www.columbiasc.edu/academics/undergraduate-degrees,score=149;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=6;canonicalHub=0;flags=,exceptions_seen,https://www.columbiasc.edu/academics/online-evening-programs|https://www.columbiasc.edu/academics/online-undergraduate-degrees-certificates|https://www.columbiasc.edu/academics/undergraduate/chemistry|https://www.columbiasc.edu/academics/undergraduate/computer-information-science|https://www.columbiasc.edu/academics/undergraduate/biology,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,6,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/columbia-college/majors,cv_unresolved,0,,,,,,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
455983,Columbia College,www.ccdc.edu/,Vienna,Virginia,Private for-profit,Professions-focused Associate Small,"Lower Access, Lower Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Very Small,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://www.ccdc.edu/catalog/2526,score=228;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=2;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.ccdc.edu/catalog/20252026|https://www.ccdc.edu/wp-content/uploads/2025/11/Columbia-College-Catalog-2025-2026-updated-10082025-Copy.pdf|https://www.ccdc.edu/catalog/|https://www.ccdc.edu/catalog|https://www.ccdc.edu/wp-content/uploads/2023/11/Columbia-College-Catalog-2023-2024_Tysons-Corner-Campus_with-COSC-updated_RP-feedback.pdf,1,BA|BS|degrees|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/columbia-college/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
