unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience
246789,HJ International Graduate School for Peace and Public Leadership,www.uts.edu/,New York,New York,Private not-for-profit,Special Focus: Theological Studies,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus:  Theological Studies,Special Focus:  Theological Studies,Very Small,Graduate-focused,Master's,Not Classified,Not Classified,https://www.uts.edu/academics/catalog/2526,score=224;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.uts.edu/|https://www.uts.edu/,1,degrees|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/hj-international-graduate-school-for-peace-and-public-leadership/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
134510,Hobe Sound Bible College,hsbc.edu/,Hobe Sound,Florida,Private not-for-profit,Professions-focused Baccalaureate Small,"Lower Access, Lower Earnings","Not classified, not in classification universe",Baccalaureate,Professions-focused,Professions-focused,Very Small,Primarily non-residential,Bachelor's,Not Classified,Not Classified,https://hsbc.edu/course-catalog/2526,score=228;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=2;canonicalHub=0;flags=yearHit,exceptions_seen,https://hsbc.edu/wp-content/uploads/2025/11/2025-2026-Course-Catalog.pdf|https://hsbc.edu/course-catalog/|https://hsbc.edu/course-catalog|https://hsbc.edu/academics/course-catalog/|https://hsbc.edu/wp-content/uploads/2024/02/2023-a-Catalog.pdf,1,BA|BS|degrees|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/hobe-sound-bible-college/majors,cv_unresolved,0,,,ethnic,,race,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
203155,Hocking College,www.hocking.edu/,Nelsonville,Ohio,Public,Professions-focused Associate Small,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Small,Residential,Associate,Not Classified,Not Classified,https://www.hocking.edu/programs,score=434;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=1;canonicalHub=1;flags=,exceptions_seen,https://www.hocking.edu/majors|https://www.hocking.edu/majors/|https://www.hocking.edu/programs/|https://www.hocking.edu/hubfs/Hocking%20College%202025-2026%20Catalog%20V1.pdf|https://www.hocking.edu/course-catalog,1,BA|BS|degrees|majors|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/hocking-college/majors,cv_unresolved,0,,,,Blackboard,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
367884,Hodges University,www.hodges.edu/,Fort Myers,Florida,Private not-for-profit,Professions-focused Associate/Baccalaureate,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate/Baccalaureate,Professions-focused,Special Focus: Other Health Professions,Small,"Mostly part-time, not residential",Bachelor's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,no_candidates,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191649,Hofstra University,www.hofstra.edu/,Hempstead,New York,Private not-for-profit,Professions-focused Undergraduate/Graduate-Doctorate Medium,"Lower Access, Higher Earnings",Research 2: High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Medium,Highly residential,Doctorate,Not Classified,Not Classified,https://www.hofstra.edu/majors/,score=424;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=1;flags=,exceptions_seen,https://www.hofstra.edu/majors|https://www.hofstra.edu/computer-science/programs.html|https://www.hofstra.edu/academics/departments.html|https://www.hofstra.edu/bulletin/|https://www.hofstra.edu/bulletin,1,BA|BS|bachelor|degrees|majors|minors|programs,1,1,Africana Studies,,17,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/hofstra-university/majors,passed_ctrl_thresh,1,African Studies,Africana,ethnic,,race,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
232308,Hollins University,www.hollins.edu/,Roanoke,Virginia,Private not-for-profit,Mixed Undergraduate/Graduate-Master's Small,"Higher Access, Lower Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Mixed,Mixed,Small,Highly residential,Master's,Not Classified,Not Classified,https://www.hollins.edu/programs/,score=434;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=1;canonicalHub=1;flags=,exceptions_seen,https://www.hollins.edu/programs|https://www.hollins.edu/academics/programs|https://www.hollins.edu/academics/programs/|https://www.hollins.edu/wp-content/uploads/2026/01/Core-Curriculum-Catalog.pdf|https://www.hollins.edu/wp-content/uploads/2026/01/Short-Term-Catalog-2025-26.pdf,1,BA|BS|degrees|majors|minors|programs,1,0,,,1,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/hollins-university/majors,passed_ctrl_thresh,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175810,Holmes Community College,www.holmescc.edu/,Goodman,Mississippi,Public,Professions-focused Associate Large/Medium,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Medium,Primarily non-residential,Associate,Not Classified,Not Classified,https://www.holmescc.edu/programs/,score=478;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=12;canonicalHub=1;flags=,5xx_seen,https://www.holmescc.edu/academics/programs/|https://www.holmescc.edu/programs|https://www.holmescc.edu/academics/programs|https://www.holmescc.edu/|https://www.holmescc.edu/,1,BS|degrees|majors|programs,1,0,,,12,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/holmes-community-college/majors,cv_unresolved,0,,,,,race,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
129534,Holy Apostles College and Seminary,www.holyapostles.edu/,Cromwell,Connecticut,Private not-for-profit,Special Focus: Theological Studies,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus:  Theological Studies,Special Focus:  Theological Studies,Small,Graduate-focused,Master's,Not Classified,Not Classified,https://www.holyapostles.edu/catalog/2526,score=232;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=3;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.holyapostles.edu/catalog/20252026|https://www.holyapostles.edu/catalog/|https://www.holyapostles.edu/catalog|https://www.holyapostles.edu/faq/catalog|https://www.holyapostles.edu/bachelor-history/,1,BA|bachelor|degrees|majors|programs,1,0,,,3,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/holy-apostles-college-and-seminary/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
150774,Holy Cross College,www.hcc-nd.edu/,Notre Dame,Indiana,Private not-for-profit,Special Focus: Arts and Sciences,"Higher Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Special Focus: Arts and Sciences,N/A,Very Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.hcc-nd.edu/majors,score=499;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=6;canonicalHub=1;flags=,429_rate_limited_seen,https://www.hcc-nd.edu/majors/|https://www.hcc-nd.edu/academics/majors|https://www.hcc-nd.edu/academics/majors/|https://www.hcc-nd.edu/undergraduate/majors|https://www.hcc-nd.edu/undergraduate/majors/,1,bachelor|majors|minors|programs,1,0,,,6,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/holy-cross-college/majors,cv_unresolved,0,,,,,,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0
212984,Holy Family University,www.holyfamily.edu/,Philadelphia,Pennsylvania,Private not-for-profit,Special Focus: Nursing,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Doctorate,Special Focus: Nursing,Professions-focused,Small,Residential,Doctorate,Not Classified,Not Classified,https://www.holyfamily.edu/academics/programs/,score=1024;tier=inventory;hubSig=6;listingLinks=114;slugDiv=114;structHits=7;ctrlStructured=11;canonicalHub=1;flags=,exceptions_seen,https://www.holyfamily.edu/academics/programs|https://www.holyfamily.edu/academics/programs?level=9&type=All&location=All|https://www.holyfamily.edu/academics/programs?level=10&type=All&location=All|https://www.holyfamily.edu/course-catalog|https://www.holyfamily.edu/course-catalog/,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,11,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/holy-family-university/majors,cv_unresolved,0,,,,,,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
