unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience
405854,Rabbinical College of Ohr Shimon Yisroel,,Brooklyn,New York,Private not-for-profit,Special Focus: Theological Studies,Not Classified,"Not classified, not in classification universe",Baccalaureate,Special Focus:  Theological Studies,N/A,Very Small,Residential,Bachelor's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484871,Rabbinical College Ohr Yisroel,www.rabbinicalcollegeohryisroel.com/,Brooklyn,New York,Private not-for-profit,Special Focus: Theological Studies,Not Classified,"Not classified, not in classification universe",Baccalaureate,Special Focus:  Theological Studies,N/A,Very Small,Highly residential,Bachelor's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,no_candidates,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205124,Rabbinical College Telshe,,Wickliffe,Ohio,Private not-for-profit,Special Focus: Theological Studies,Not Classified,"Not classified, not in classification universe",Baccalaureate,Special Focus:  Theological Studies,Special Focus:  Theological Studies,Very Small,Highly residential,Bachelor's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194763,Rabbinical Seminary of America,www.rabbinical.org/,Flushing,New York,Private not-for-profit,Special Focus: Theological Studies,Not Classified,"Not classified, not in classification universe",Baccalaureate,Special Focus:  Theological Studies,Special Focus:  Theological Studies,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.rabbinical.org/_files/ugd/acb8e3_2eb8500a9b2d49b1a76fb7c821e6f8c3.pdf,score=80;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=0;canonicalHub=0;flags=,exceptions_seen,https://www.rabbinical.org/_files/ugd/acb8e3_d66481bde64e4704be7b5821c7391e84.pdf|https://www.rabbinical.org/_files/ugd/acb8e3_6974b40cb73644599cbff36a4c337a7c.pdf|https://www.rabbinical.org/_files/ugd/acb8e3_39f06f5cadb444c3bd00350908726a85.pdf|https://www.rabbinical.org/_files/ugd/acb8e3_938084e433494aa099b9bb05b532cdc9.pdf|https://www.rabbinical.org/cares,0,BA|BS|degrees|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/rabbinical-seminary-of-america/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233277,Radford University,www.radford.edu/,Radford,Virginia,Public,Professions-focused Undergraduate/Graduate-Master's Large/Medium,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Professions-focused,Professions-focused,Medium,Highly residential,Doctorate,Not Classified,Not Classified,https://www.radford.edu/programs/,score=1048;tier=inventory;hubSig=6;listingLinks=132;slugDiv=132;structHits=7;ctrlStructured=17;canonicalHub=1;flags=,exceptions_seen,https://www.radford.edu/programs|https://www.radford.edu/programs/index.html|https://www.radford.edu/online|https://www.radford.edu/catalog|https://www.radford.edu/head-catalog,1,BA|BS|bachelor|degrees|majors|minors|programs,1,1,African American Studies,,17,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/radford-university/majors,cv_unresolved,0,,African,Ethnicity|ethnic,Black,Race|Racial|race|racial,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
207157,Randall University,www.ru.edu/,Moore,Oklahoma,Private not-for-profit,Special Focus: Arts and Sciences,"Higher Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Special Focus: Arts and Sciences,Professions-focused,Very Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.ru.edu/,score=68;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=2;canonicalHub=0;flags=,exceptions_seen,https://www.ru.edu/,1,degrees|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/randall-university/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
233301,Randolph College,www.randolphcollege.edu/,Lynchburg,Virginia,Private not-for-profit,Special Focus: Arts and Sciences,"Higher Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Special Focus: Arts and Sciences,Special Focus: Arts and Sciences,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.randolphcollege.edu/majors/,score=518;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=12;canonicalHub=1;flags=,exceptions_seen,https://www.randolphcollege.edu/academics/majors/|https://www.randolphcollege.edu/academics/majors|https://www.randolphcollege.edu/majors|https://www.randolphcollege.edu/programs/|https://www.randolphcollege.edu/programs,1,BA|BS|bachelor|degrees|majors|minors|programs,1,3,"African and African American Studies|Race, Culture, and Equity in Education|Why Pursue African and African American Studies at Randolph?",,12,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/randolph-college/majors,cv_unresolved,0,,Africa|African|african,ethnic,Black,Race|race|racial,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
199421,Randolph Community College,www.randolph.edu/,Asheboro,North Carolina,Public,Mixed Associate Small,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Small,Online and on-campus learning,Associate,Not Classified,Not Classified,https://www.randolph.edu/programs/,score=454;tier=inventory;hubSig=0;listingLinks=1;slugDiv=1;structHits=5;ctrlStructured=1;canonicalHub=1;flags=,exceptions_seen,https://www.randolph.edu/programs|https://www.randolph.edu/academics/college-majors/college-transfer/index.aspx|https://www.randolph.edu/academics/university-partnerships.aspx|https://www.randolph.edu/academics/college-majors/agribusiness-technology/index.aspx|https://www.randolph.edu/academics/college-majors/accounting-and-finance/index.aspx,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/randolph-community-college/majors,cv_unresolved,0,,,,,race,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
233295,Randolph-Macon College,www.rmc.edu/,Ashland,Virginia,Private not-for-profit,Special Focus: Arts and Sciences,"Lower Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Special Focus: Arts and Sciences,N/A,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.rmc.edu/academics/areas-of-study/,score=346;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=14;canonicalHub=0;flags=,exceptions_seen,https://www.rmc.edu/academics/areas-of-study/pre-med/|https://www.rmc.edu/academics/areas-of-study/pre-law/|https://www.rmc.edu/academics/areas-of-study/business/|https://www.rmc.edu/academics/areas-of-study/pre-health/|https://www.rmc.edu/academics/areas-of-study/pre-physician-assistant/,1,BA|degrees|majors|minors|programs,1,4,Black Studies FACULTY|Black Studies News|Major/Minor Black Studies|News Story categories: Black Studies,,14,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/randolph-macon-college/majors,cv_unresolved,0,,AFRICAN|Africa|African|africa|african|africana,ethnic|ethnicity,Black|Blackwell|black|black-studies,race|racial,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
227687,Ranger College,www.rangercollege.edu/#gsc.tab=0,Ranger,Texas,Public,Mixed Associate Small,"Lower Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Small,Residential,Associate,Not Classified,Not Classified,https://www.rangercollege.edu/academics/academic-programs/,score=432;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=3;canonicalHub=1;flags=,403_forbidden_seen,https://www.rangercollege.edu/academics/academic-programs/associate-of-art-in-teaching/index.php|https://www.rangercollege.edu/academics/academic-programs/index.php|https://www.rangercollege.edu/academics/academic-programs/associate-of-art-in-teaching/aa-t_document_folder/teachingdegree.pdf|https://www.rangercollege.edu/academics/academic-programs/associate-of-art-in-teaching/tuitionandfees.pdf|https://www.rangercollege.edu/academics/academic-programs/associate-of-arts/aa_document_folder/artsdegree.pdf,1,BA|BS|bachelor|degrees|programs,1,0,,,3,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/ranger-college/majors,cv_unresolved,0,,,,,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
178891,Ranken Technical College,www.ranken.edu/,Saint Louis,Missouri,Private not-for-profit,Special Focus: Applied and Career Studies,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Associate,Special Focus: Applied and Career Studies,N/A,Small,Primarily non-residential,Bachelor's,Not Classified,Not Classified,https://www.ranken.edu/academics/programs,score=448;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=2;canonicalHub=1;flags=,exceptions_seen,https://www.ranken.edu/programs|https://www.ranken.edu/academics/programs/|https://www.ranken.edu/programs/|https://www.ranken.edu/course-catalog/2526|https://www.ranken.edu/course-catalog/,1,bachelor|degrees|majors|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/aiken-technical-college/majors,cv_unresolved,0,,,,,race,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
233310,Rappahannock Community College,www.rappahannock.edu/,Glenns,Virginia,Public,Mixed Associate Small,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Small,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.rappahannock.edu/programs,score=442;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=3;canonicalHub=1;flags=,exceptions_seen,https://www.rappahannock.edu/explore-programs/programs/transfer-programs-transfer-va.html|https://www.rappahannock.edu//explore-programs/programs/transfer-programs-transfer-va.html|https://www.rappahannock.edu/explore-programs/programs/by-degree-level.html|https://www.rappahannock.edu/explore-programs/programs/index.html|https://www.rappahannock.edu//explore-programs/programs/by-degree-level.html,1,degrees|majors|programs,1,0,,,3,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/rappahannock-community-college/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
186645,Raritan Valley Community College,,Branchburg,New Jersey,Public,Professions-focused Associate Large/Medium,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Medium,"Mostly part-time, not residential",Associate,Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138309,Rasmussen University-Florida,,Ocala,Florida,Private for-profit,Special Focus: Nursing,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Associate/Baccalaureate,Special Focus: Nursing,Special Focus: Business,Medium,Online and on-campus learning,Bachelor's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448673,Rasmussen University-Illinois,,Rockford,Illinois,Private for-profit,Special Focus: Nursing,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Associate,Special Focus: Nursing,Special Focus: Business,Medium,"Mostly part-time, not residential",Bachelor's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480657,Rasmussen University-Kansas,,Topeka,Kansas,Private for-profit,Special Focus: Nursing,Not Classified,"Not classified, not in classification universe",Associate/Baccalaureate,Special Focus: Nursing,Special Focus: Business,Small,"Mostly part-time, not residential",Bachelor's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
