unitid,name,2013_program_name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience
188429,Adelphi University,"African, Black and Carribbean Studies Program",www.adelphi.edu/,Garden City,New York,Private not-for-profit,Professions-focused Undergraduate/Graduate-Doctorate Medium,"Lower Access, Higher Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Medium,Residential,Doctorate,Classified,Not Classified,https://www.adelphi.edu/programs,score=530;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=15;canonicalHub=1;flags=,5xx_seen,https://www.adelphi.edu/programs/|https://www.adelphi.edu/programs/?filters%5Bdegree_level%5D=undergraduate|https://www.adelphi.edu/programs/?filters%5Bdegree_level%5D=undergraduate&filters%5Blocation%5D=&filters%5Bprograms_schools%5D|https://www.adelphi.edu/programs/?filters%5Bdegree_level%5D=accelerated|https://www.adelphi.edu/programs/?query=stem,1,BA|BS|bachelor|degrees|majors|minors|programs,1,1,"African, Black & Caribbean Studies",,15,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/adelphi-university/majors,passed_ctrl_thresh,0,,African,,Black,,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
138600,Agnes Scott College,Africana Studies Program,www.agnesscott.edu/,Decatur,Georgia,Private not-for-profit,Special Focus: Arts and Sciences,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Baccalaureate,Special Focus: Arts and Sciences,Professions-focused,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.agnesscott.edu/academics/majors-minors/,score=440;tier=inventory;hubSig=0;listingLinks=2;slugDiv=2;structHits=4;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://www.agnesscott.edu/majors|https://www.agnesscott.edu/majors/|https://www.agnesscott.edu/academics/majors-minors|https://www.agnesscott.edu/academics/majors-minors/cross-registration.html|https://www.agnesscott.edu/academics/majors-minors/clinical-nurse-leader-progam.html,0,BA|BS|degrees|majors|minors|programs,1,0,,,0,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/agnes-scott-college/majors,passed_ctrl_thresh,1,African Studies,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168546,Albion College,Ethnic Studies Department,www.albion.edu/,Albion,Michigan,Private not-for-profit,Special Focus: Arts and Sciences,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Baccalaureate,Special Focus: Arts and Sciences,N/A,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.albion.edu/programs,score=929;tier=inventory;hubSig=5;listingLinks=76;slugDiv=76;structHits=4;ctrlStructured=16;canonicalHub=1;flags=,exceptions_seen,https://www.albion.edu/academics/programs|https://www.albion.edu/academics/programs/|https://www.albion.edu/departments/|https://www.albion.edu/academics/programs/actuarial-science/|https://www.albion.edu/academics/programs/accounting-major-minor/,1,bachelor|degrees|majors|minors|programs,1,2,"Ethnic Studies Major and Minor|Ethnic Studies and Women's, Gender, and Sexuality Studies",,16,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/albion-college/majors,cv_unresolved,0,,Africa,Ethnic|ethnicity,Black,race|racial,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
164465,Amherst College,Black Studies Department,www.amherst.edu/,Amherst,Massachusetts,Private not-for-profit,Special Focus: Arts and Sciences,"Lower Access, Higher Earnings",Research Colleges and Universities,Baccalaureate,Special Focus: Arts and Sciences,N/A,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.amherst.edu/academiclife/departments,score=854;tier=inventory;hubSig=6;listingLinks=29;slugDiv=29;structHits=4;ctrlStructured=16;canonicalHub=0;flags=,exceptions_seen,https://www.amherst.edu/academiclife/college-catalog/2526|https://www.amherst.edu/academiclife/college-catalog|https://www.amherst.edu/|https://www.amherst.edu/admission/diversity|https://www.amherst.edu/academiclife/experiential-learning,1,bachelor|degrees|majors|programs,1,7,African Studies Certificate|Black Studies|Black Studies Events|Black Studies Thesis and Research Workshop|Critical Debates in Black Studies|Introduction to Black Studies|Research in Black Studies,,18,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/amherst-college/majors,passed_ctrl_thresh,1,African-American/Black Studies,Africa|African,Ethnic|Ethnicity|ethnic|ethnicity,BlacKkKlansman|Black|Blackwood|black|blackstudies,Race|Racial|race|racial,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104151,Arizona State University Campus Immersion,Africa and African American Studies Program,www.asu.edu/,Tempe,Arizona,Public,Mixed Undergraduate/Graduate-Doctorate Large,"Opportunity Colleges and Universities-Higher Access, Higher Earnings",Research 1: Very High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,Mixed,Professions-focused,Very Large,Residential,Doctorate,Classified,Classified,https://www.asu.edu/majors,score=497;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=3;canonicalHub=1;flags=,429_rate_limited_seen,https://www.asu.edu/majors/|https://www.asu.edu/programs|https://www.asu.edu/academics|https://www.asu.edu/about/locations-maps|https://www.asu.edu/about/facts-and-figures,1,bachelor|degrees|majors|minors|programs,1,0,,,6,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/arizona-state-university-campus-immersion/majors,passed_ctrl_thresh,1,African-American/Black Studies,,,,,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
100858,Auburn University,Africana Studies Program,www.auburn.edu/,Auburn,Alabama,Public,Professions-focused Undergraduate/Graduate-Doctorate Large,"Lower Access, Higher Earnings",Research 1: Very High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Large,Residential,Doctorate,Classified,Not Classified,https://www.auburn.edu/majors,score=559;tier=inventory;hubSig=0;listingLinks=1;slugDiv=1;structHits=6;ctrlStructured=16;canonicalHub=1;flags=,exceptions_seen,https://www.auburn.edu/majors/|https://www.auburn.edu/bulletin|https://www.auburn.edu/bulletin/|https://bulletin.auburn.edu/|https://www.auburn.edu/administration/human_resources/hardship-fund.php,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,16,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/auburn-university/majors,passed_ctrl_thresh,0,,,,,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
143084,Augustana College,African‐American Studies Department,www.augustana.edu/,Rock Island,Illinois,Private not-for-profit,Mixed Baccalaureate,"Lower Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Mixed,Special Focus: Other Health Professions,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.augustana.edu/majors,score=522;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=18;canonicalHub=1;flags=,exceptions_seen,https://www.augustana.edu/majors/|https://www.augustana.edu/academics/catalog/areas-of-study|https://www.augustana.edu/academics/areas-of-study/communication-sciences-and-disorders/courses|https://www.augustana.edu/academics/areas-of-study/communication-sciences-and-disorders/advising|https://www.augustana.edu/academics/areas-of-study/art/courses,1,BA|BS|bachelor|degrees|majors|minors|programs,1,1,Africana Studies,,18,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/augustana-college/majors,passed_ctrl_thresh,1,African Studies,Africa|African|Africana,,Black|black,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189097,Barnard College,Africana Studies Program,www.barnard.edu/,New York,New York,Private not-for-profit,Special Focus: Arts and Sciences,"Lower Access, Higher Earnings",Research Colleges and Universities,Baccalaureate,Special Focus: Arts and Sciences,N/A,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.barnard.edu/departments-and-programs,score=492;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=6;ctrlStructured=8;canonicalHub=1;flags=,403_forbidden_seen,https://www.barnard.edu/departments-and-programs/|https://www.barnard.edu/departments-and-programs?page=1|https://www.barnard.edu/departments-and-programs?first_letter=E|https://www.barnard.edu/departments-and-programs?first_letter=P|https://www.barnard.edu/departments-and-programs?first_letter=C,1,BA|bachelor|degrees|majors|minors|programs,1,4,Africana Studies|Africana Studies Major|Africana Studies Minor|Department of Africana Studies,,14,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/barnard-college/majors,passed_ctrl_thresh,1,African Studies,Africa|African|Africana,ethnicity,Black|black,race,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
132471,Barry University,Africana Studies Program,www.barry.edu/,Miami,Florida,Private not-for-profit,Professions-focused Undergraduate/Graduate-Doctorate Medium,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Medium,Primarily residential,Doctorate,Classified,Not Classified,https://www.barry.edu/academics/majors,score=494;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=11;canonicalHub=1;flags=,exceptions_seen,https://www.barry.edu/academics/programs|https://www.barry.edu/academics/majors-minors/|https://www.barry.edu/academics/majors-minors|https://www.barry.edu/academics/majors/|https://www.barry.edu/academics/programs/,1,BA|BS|degrees|majors|programs,1,0,,,11,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/barry-university/majors,failed_ctrl_thresh,0,,,ethnicity,,race,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0
160977,Bates College,African American Studies Program,www.bates.edu/,Lewiston,Maine,Private not-for-profit,Special Focus: Arts and Sciences,"Lower Access, Higher Earnings","Not classified, not in classification universe",Baccalaureate,Special Focus: Arts and Sciences,N/A,Small,Highly residential,Bachelor's,Classified,Not Classified,https://www.bates.edu/academics/majors,score=523;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=12;canonicalHub=1;flags=,exceptions_seen,https://www.bates.edu/academics/majors/|https://www.bates.edu/academics/departments-and-programs/|https://www.bates.edu/majors/|https://www.bates.edu/academics/departments-and-programs|https://www.bates.edu/majors,1,degrees|majors|minors|programs,1,4,"About the Program in Africana|Africana|Africana (M, m)|Health and Healing in Africa",,12,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/bates-college/majors,passed_ctrl_thresh,1,African-American/Black Studies,Africa|African|Africana|africana,ethnicity,Black|black,Race|race,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1
