row_index,unitid,source,raw_title,title_kind,is_program_title,bucket,canonical_title,program_conf,program_conf_reason
7,189097,crawl,Department of Africana Studies,department_unit,0,africana,Africana Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
14,164988,crawl,African Studies Center,center_institute,0,african,African Studies Center,30,anchor_phrase|bucket_match:african
15,161004,crawl,Africana Studies Becomes a Department,department_unit,0,africana,Africana Studies Becomes a Department,90,strong_token|anchor_phrase|bucket_match:africana
19,217156,crawl,Department of Africana Studies,department_unit,0,africana,Africana Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
23,115755,crawl,Pan African Center,center_institute,0,africana,Pan African Center,10,bucket_match:africana
25,110538,crawl,"Ethnic, Gender, and Queer Studies Department",department_unit,0,ethnic,"Ethnic, Gender, and Queer Studies Department",70,strong_token|bucket_match:ethnic
26,110547,crawl,University Ethnic Studies Committee (UESC),committee_admin,0,ethnic,University Ethnic Studies Committee,30,anchor_phrase|bucket_match:ethnic
31,110592,crawl,Department of Pan-African Studies,department_unit,0,africana,Pan-African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
48,190099,crawl,Africana and Latin American Studies Program in the Division of University Studies Go to program,committee_admin,0,africana,Africana and Latin American Studies Program in the Division of University Studies Go to,70,strong_token|bucket_match:africana
54,190415,crawl,Africana Studies and ​ Research Center (ASRC),center_institute,0,africana,Africana Studies,70,anchor_phrase|compound_anchor|bucket_match:africana
55,181002,crawl,College of Art and Sciences Department of African Studies,department_unit,0,african,African Studies,100,strong_token|anchor_phrase|compound_anchor|bucket_match:african
55,181002,crawl,Department of African Studies,department_unit,0,african,African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
57,190549,crawl,Africana Studies Department,department_unit,0,africana,Africana Studies Department,90,strong_token|anchor_phrase|bucket_match:africana
58,190567,crawl,Black Studies Department,department_unit,0,black,Black Studies Department,90,strong_token|anchor_phrase|bucket_match:black
62,190664,crawl,"Center for Ethnic, Racial and Religous Understanding",center_institute,0,ethnic,"Center for Ethnic, Racial and Religous Understanding",10,bucket_match:ethnic
63,182670,crawl,African and African American Studies Department,department_unit,0,black,African and African American Studies,100,strong_token|anchor_phrase|compound_anchor|bucket_match:black
63,182670,crawl,"Tuck Europe, Middle East, and Africa (EMEA) Council",committee_admin,0,mena,"Tuck Europe, Middle East, and Africa (EMEA) Council",10,bucket_match:mena
83,133951,crawl,African and African Diaspora Studies (MA) Available Online,center_institute,0,african,African and African Diaspora Studies (MA) Available Online,50,degree_token|bucket_match:african
85,191241,crawl,Department of African and African American Studies,department_unit,0,black,African and African American Studies,100,strong_token|anchor_phrase|compound_anchor|bucket_match:black
85,191241,crawl,The Department of African and African American Studies at Fordham,department_unit,0,black,African and African American Studies,100,strong_token|anchor_phrase|compound_anchor|bucket_match:black
96,198613,crawl,African and African American Studies Department,department_unit,0,black,African and African American Studies,100,strong_token|anchor_phrase|compound_anchor|bucket_match:black
99,166027,crawl,Africa Research Center,center_institute,0,african,Africa Research Center,10,bucket_match:african
99,166027,crawl,"Center for Race, Inequality and Social Equity Studies (CRISES)",center_institute,0,race,"Center for Race, Inequality and Social Equity Studies",10,bucket_match:race
99,166027,crawl,Charles Hamilton Houston Institute for Race and Justice,center_institute,0,race,Charles Hamilton Houston Institute for Race and Justice,10,bucket_match:race
99,166027,crawl,"Committee on Ethnicity, Migration, Rights",committee_admin,0,ethnic,"Committee on Ethnicity, Migration, Rights",10,bucket_match:ethnic
99,166027,crawl,Harvard University Center for African Studies,center_institute,0,african,Harvard University Center for African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
99,166027,crawl,Hutchins Center for African and African American Research,center_institute,0,black,Hutchins Center for African and African American Research,10,bucket_match:black
99,166027,crawl,Middle East and North Africa Research Center,center_institute,0,mena,Middle East and North Africa Research Center,10,bucket_match:mena
117,203517,crawl,Department of Africana Studies,department_unit,0,africana,Africana Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
135,127565,crawl,Department of Africana Studies,department_unit,0,africana,Africana Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
142,140553,crawl,Black Men's Research Institute,center_institute,0,other,Black Men's Research Institute,0,course_like
142,140553,crawl,Center for Black Entrepreneurs,center_institute,0,other,Center for Black Entrepreneurs,0,
