unitid,name,2013_program_name,match_2013__best_title,match_2013__best_source,match_2013__best_kind,match_2013__match_level,match_2013__match_score,program_buckets_hit,match_2013__detail,discovered__program_titles__crawl,discovered__program_titles__cv,discovered__signal_titles,discovered__all_titles,discovered__new_titles_unmatched,discovered__new_program_titles_when_best_signal,total_controls_found,controls_sufficiency,college_vine_ctrl_status,best_guess_inventory_url,best_guess_inventory_reason,college_vine_site,college_vine_url,Web_address,city,state,control
100858,Auburn University,Africana Studies Program,,,,NO_MATCH,0.0,,,,,,,,,16,sufficient majors,passed_ctrl_thresh,https://www.auburn.edu/majors,score=559;tier=inventory;hubSig=0;listingLinks=1;slugDiv=1;structHits=6;ctrlStructured=16;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/auburn-university/majors,www.auburn.edu/,Auburn,Alabama,Public
132471,Barry University,Africana Studies Program,,,,NO_MATCH,0.0,,,,,,,,,11,sufficient majors,failed_ctrl_thresh,https://www.barry.edu/academics/majors,score=494;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=11;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/barry-university/majors,www.barry.edu/,Miami,Florida,Private not-for-profit
110556,California State University-Fresno,Africana Studies Program,,,,NO_MATCH,0.0,,,,,,,,,11,sufficient majors,cv_unresolved,https://www.fresnostate.edu/catalog/preview_program.php?catoid=6&poid=3184,score=255;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=5;canonicalHub=0;flags=,0,https://www.collegevine.com/schools/hub/all/d/california-state-university-fresno/majors,www.fresnostate.edu/,Fresno,California,Public
201645,Case Western Reserve University,Ethnic Studies Program,,,,NO_MATCH,0.0,,,,,,,,,4,warning_10_MajorsFound,passed_ctrl_thresh,https://www.case.edu/programs/,score=486;tier=inventory;hubSig=0;listingLinks=4;slugDiv=3;structHits=7;ctrlStructured=4;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/case-western-reserve-university/majors,www.case.edu/,Cleveland,Ohio,Private not-for-profit
234827,Central Washington University,Africana and Black Studies Program,,,,NO_MATCH,0.0,,,,,,,,,14,sufficient majors,passed_ctrl_thresh,https://www.cwu.edu/programs/,score=486;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=14;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/central-washington-university/majors,www.cwu.edu/,Ellensburg,Washington,Public
232186,George Mason University,African and African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,4,warning_10_MajorsFound,passed_ctrl_thresh,https://www.gmu.edu/about/leadership/executive-council,score=114;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=1;canonicalHub=0;flags=,1,https://www.collegevine.com/schools/hub/all/d/george-mason-university/majors,www.gmu.edu/,Fairfax,Virginia,Public
156745,Georgetown College,African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,13,sufficient majors,cv_unresolved,https://catalog.georgetowncollege.edu/programs,score=512;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=6;ctrlStructured=13;canonicalHub=1;flags=,0,https://www.collegevine.com/schools/hub/all/d/georgetown-college/majors,www.georgetowncollege.edu/,Georgetown,Kentucky,Private not-for-profit
139931,Georgia Southern University,Africana Studies Center,,,,NO_MATCH,0.0,,,,,,,,,14,sufficient majors,passed_ctrl_thresh,https://www.georgiasouthern.edu/majors/,score=526;tier=inventory;hubSig=0;listingLinks=4;slugDiv=2;structHits=7;ctrlStructured=14;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/georgia-southern-university/majors,www.georgiasouthern.edu/,Statesboro,Georgia,Public
173665,Hamline University,African-American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,12,sufficient majors,cv_unresolved,https://www.hamline.edu/programs/,score=1028;tier=inventory;hubSig=6;listingLinks=60;slugDiv=60;structHits=7;ctrlStructured=12;canonicalHub=1;flags=,0,https://www.collegevine.com/schools/hub/all/d/hamline-university/majors,www.hamline.edu/,Saint Paul,Minnesota,Private not-for-profit
145813,Illinois State University,Ethnic Studies Program,,,,NO_MATCH,0.0,,,,,,,,,16,sufficient majors,passed_ctrl_thresh,https://illinoisstate.edu/academics/majors/,score=524;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=6;ctrlStructured=16;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/illinois-state-university/majors,illinoisstate.edu/,Normal,Illinois,Public
213020,Indiana University of Pennsylvania-Main Campus,Pan-African Studies Program,,,,NO_MATCH,0.0,,,,,,,,,3,warning_10_MajorsFound,passed_ctrl_thresh,https://www.iup.edu/majors,score=452;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=3;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/indiana-university-of-pennsylvania-main-campus/majors,www.iup.edu/,Indiana,Pennsylvania,Public
151111,Indiana University-Purdue University-Indianapolis,Africana Studies Program,,,,NO_MATCH,0.0,,,,,,,,,7,warning_10_MajorsFound,passed_ctrl_thresh,https://indianapolis.iu.edu/majors,score=473;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=2;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/indiana-university-purdue-university-indianapolis/majors,indianapolis.iu.edu/,Indianapolis,Indiana,Public
175856,Jackson State University,Fannie Lou Hamer National Institute on Citizenship and Democracy,,,,NO_MATCH,0.0,,,,,,,,,0,warning_10_MajorsFound,passed_ctrl_thresh,https://www.jsums.edu/programs,score=420;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=0;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/jackson-state-university/majors,www.jsums.edu/,Jackson,Mississippi,Public
203368,John Carroll University,Africana Studies Committee,,,,NO_MATCH,0.0,,,,,,,,,11,sufficient majors,passed_ctrl_thresh,https://www.jcu.edu/academics/undergraduate-programs/majors/engineering-physics.html,score=408;tier=inventory;hubSig=2;listingLinks=12;slugDiv=4;structHits=6;ctrlStructured=7;canonicalHub=0;flags=,1,https://www.collegevine.com/schools/hub/all/d/john-carroll-university/majors,jcu.edu/,University Heights,Ohio,Private not-for-profit
171100,Michigan State University,African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,6,warning_10_MajorsFound,passed_ctrl_thresh,https://www.msu.edu/about/leadership/b/jabbar-r-bennett,score=94;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=1;canonicalHub=0;flags=,1,https://www.collegevine.com/schools/hub/all/d/michigan-state-university/majors,www.msu.edu/,East Lansing,Michigan,Public
