unitid,name,Web_address,city,state,control,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience
412173,Academy for Nursing and Health Occupations,www.anho.edu/,West Palm Beach,Florida,Private not-for-profit,https://www.anho.edu/Download-Catalogue,score=158;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=2;canonicalHub=0;flags=,exceptions_seen,https://www.anho.edu/Administrative-and-Instructional-Personnel|https://www.anho.edu/Personnel|https://www.anho.edu/Admissions|https://www.anho.edu/Strategic-Plan/View-Yearly-Strategic-Plan|https://www.anho.edu/Friday-Learning-Opportunities,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,3,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/academy-for-nursing-and-health-occupations/majors,cv_unresolved,0,,,,,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
108232,Academy of Art University,www.academyart.edu/,San Francisco,California,Private for-profit,https://www.academyart.edu/programs,score=438;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=2;canonicalHub=1;flags=,exceptions_seen,https://www.academyart.edu/programs/|https://www.academyart.edu/academics/find-your-program/|https://www.academyart.edu/catalog/2526|https://www.academyart.edu/catalog/20252026|https://www.academyart.edu/catalog,1,degrees|majors|programs,1,0,,,3,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/academy-of-art-university/majors,cv_unresolved,0,,,,,,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
108269,Academy of Chinese Culture and Health Sciences,www.acchs.edu/,Oakland,California,Private not-for-profit,https://www.acchs.edu/academics/programs,"score=-10000;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=0;ctrlStructured=0;canonicalHub=1;flags=thin,soft404",exceptions_seen,https://www.acchs.edu/|https://www.acchs.edu/academics/programs/|https://www.acchs.edu/programs|https://www.acchs.edu/programs/|https://www.acchs.edu/academics/majors-minors,0,,0,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/academy-of-chinese-culture-and-health-sciences/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487658,Academy of Interactive Entertainment,lafayette.aie.edu/,Lafayette,Louisiana,Private not-for-profit,,,,,0,,0,0,,,0,,no_candidates,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384306,Acupuncture and Integrative Medicine College-Berkeley,www.aimc.edu/,Berkeley,California,Private not-for-profit,https://www.aimc.edu/people,score=104;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=6;ctrlStructured=1;canonicalHub=0;flags=,5xx_seen,https://www.aimc.edu/students|https://www.aimc.edu/explore|https://www.aimc.edu/doctoralprogram|https://www.aimc.edu/mastersprogram|https://www.aimc.edu/about,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,3,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/acupuncture-and-integrative-medicine-college-berkeley/majors,cv_unresolved,0,,,ethnic,Black,,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
439969,Acupuncture and Massage College,www.amcollege.edu/,Miami,Florida,Private for-profit,,,,,0,,0,0,,,0,,no_candidates,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126182,Adams State University,www.adams.edu/,Alamosa,Colorado,Public,https://www.adams.edu/catalog/academic-programs/psychology/,score=319;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=1;canonicalHub=0;flags=,exceptions_seen,https://www.adams.edu/catalog/academic-programs/sociology/|https://www.adams.edu/catalog/academic-programs/teacher-education/|https://www.adams.edu/catalog/academic-programs/spanish/|https://www.adams.edu/catalog/academic-programs/womens-studies/minor-gender-sexuality-studies/|https://www.adams.edu/catalog/academic-programs/womens-studies/minor-womens-studies/,1,BA|bachelor|degrees|majors|minors|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/adams-state-university/majors,cv_unresolved,0,,,,,Race,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
188429,Adelphi University,www.adelphi.edu/,Garden City,New York,Private not-for-profit,https://www.adelphi.edu/programs/,score=530;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=15;canonicalHub=1;flags=,exceptions_seen,https://www.adelphi.edu/programs|https://www.adelphi.edu/programs/?filters%5Bdegree_level%5D=undergraduate|https://www.adelphi.edu/programs/?filters%5Bdegree_level%5D=undergraduate&filters%5Blocation%5D=&filters%5Bprograms_schools%5D|https://www.adelphi.edu/programs/?filters%5Bdegree_level%5D=accelerated|https://www.adelphi.edu/programs/?filters%5Bdegree_level%5D=accelerated&filters%5Blocation%5D=&filters%5Bprograms_schools%5D,1,BA|BS|bachelor|degrees|majors|minors|programs,1,1,"African, Black & Caribbean Studies",,15,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/adelphi-university/majors,passed_ctrl_thresh,0,,African,,Black,,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
374024,Adler Graduate School,www.alfredadler.edu/,Minnetonka,Minnesota,Private not-for-profit,https://www.alfredadler.edu/academics/programs/,score=254;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=1;flags=grad,exceptions_seen,https://www.alfredadler.edu/programs|https://www.alfredadler.edu/programs/|https://www.alfredadler.edu/academics/programs|https://www.alfredadler.edu/wp-content/uploads/2023/01/2324-academic-calendar.docx|https://www.alfredadler.edu/wp-content/uploads/2024/01/2425-academic-calendar.docx,1,BA|BS|degrees|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/adler-graduate-school/majors,cv_unresolved,0,,,,Black,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
142832,Adler University,www.adler.edu/,Chicago,Illinois,Private not-for-profit,https://www.adler.edu/programs/,score=776;tier=inventory;hubSig=4;listingLinks=36;slugDiv=12;structHits=2;ctrlStructured=4;canonicalHub=1;flags=,403_forbidden_seen,https://www.adler.edu/programs|https://www.adler.edu/en-ca/programs/|https://www.adler.edu/fr/programs/|https://www.adler.edu/es/programs/|https://www.adler.edu/programs/?degree=masters%2C,1,degrees|programs,1,0,,,4,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/adler-university/majors,cv_unresolved,0,,,ethnicities|ethnicity,,race|racial,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
